evid,time,latitude,longitude,depth_km,magnitude_gamma,qnpair,qndiffP,qndiffS,rmsP,rmsS
awr_000019,2019-04-05T12:27:50.621000,36.07294,-117.62129,3.181,1.082,6,32,28,0.01,0.02
awr_000020,2019-04-05T13:15:48.947000,36.06756,-117.69366,2.453,0.177,29,120,98,0.01,0.03
awr_000021,2019-04-05T14:36:32.656000,36.07008,-117.68831,2.666,1.974,90,713,700,0.01,0.02
awr_000022,2019-04-05T15:06:36.268000,36.11714,-117.83786,3.977,-0.105,10,19,46,0.03,0.02
awr_000023,2019-04-05T15:13:54.181000,35.36152,-118.46941,5.209,1.727,4,21,23,0.01,0.03
awr_000024,2019-04-05T16:59:42.011000,36.06808,-117.69048,2.647,-0.037,13,38,45,0.01,0.01
awr_000025,2019-04-05T18:47:19.092000,36.07185,-117.85554,4.093,0.197,18,54,85,0.01,0.01
awr_000026,2019-04-05T21:40:17.900000,36.11674,-117.67151,3.217,0.291,67,277,241,0.01,0.03
awr_000027,2019-04-05T21:43:40.305000,36.06748,-117.83988,3.746,0.293,18,45,79,0.02,0.02
awr_000028,2019-04-05T22:45:32.805000,36.1181,-117.8396,4.026,0.233,48,161,239,0.03,0.03
awr_000029,2019-04-05T23:35:23.763000,36.07541,-117.68177,2.086,0.095,10,46,50,0.02,0.01
awr_000030,2019-04-06T04:01:30.946000,36.0489,-117.58748,3.211,0.204,5,25,21,0.01,0.03
awr_000031,2019-04-06T04:36:17.176000,36.14671,-118.0662,3.468,0.509,16,64,80,0.01,0.01
awr_000032,2019-04-06T08:55:19.784000,36.02501,-117.77064,2.576,0.067,22,75,107,0.03,0.02
awr_000033,2019-04-06T09:47:35.875000,36.0249,-117.77028,2.576,-0.108,21,70,105,0.03,0.01
awr_000034,2019-04-06T18:59:29.560000,36.1171,-117.83883,3.994,0.319,62,211,354,0.04,0.03
awr_000035,2019-04-06T19:06:14.382000,36.02615,-117.77103,2.555,-0.324,7,23,34,0.01,0.02
awr_000036,2019-04-06T19:33:00.150000,35.93837,-117.69284,4.787,0.509,9,46,31,0.03,0.04
awr_000037,2019-04-06T19:36:00.311000,35.96027,-117.70895,5.265,0.157,55,222,237,0.02,0.02
awr_000038,2019-04-06T19:54:53.367000,36.06954,-117.68994,2.524,0.338,84,490,418,0.01,0.02
awr_000039,2019-04-06T20:11:07.531000,35.84464,-118.10791,9.702,0.918,1,5,9,0.0,0.0
awr_000040,2019-04-06T20:27:01.644000,36.02585,-117.77146,2.71,-0.01,9,33,26,0.01,0.02
awr_000041,2019-04-06T20:27:46.333000,36.02605,-117.77172,2.588,-0.262,10,26,40,0.03,0.01
awr_000042,2019-04-06T20:39:26.254000,36.0683,-117.99026,7.002,0.434,26,96,104,0.01,0.02
awr_000043,2019-04-06T22:29:55.193000,36.1165,-117.83855,4.035,0.009,26,55,134,0.04,0.01
awr_000044,2019-04-06T22:55:01.688000,36.04906,-117.58736,3.228,0.384,8,40,24,0.03,0.04
awr_000045,2019-04-07T00:32:08.427000,36.07046,-117.68811,2.666,0.068,72,279,385,0.01,0.02
awr_000046,2019-04-07T00:47:02.686000,36.00849,-117.34437,9.018,0.935,24,131,91,0.02,0.04
awr_000047,2019-04-07T04:11:55.217000,36.11792,-117.83974,4.0,0.011,14,38,65,0.02,0.02
awr_000048,2019-04-07T04:35:31.809000,36.40143,-117.86978,7.046,1.128,2,7,5,0.01,0.01
awr_000049,2019-04-07T04:46:42.774000,36.02347,-117.77163,2.767,-0.008,26,78,143,0.02,0.01
awr_000050,2019-04-07T05:03:32.352000,36.02361,-117.77198,2.798,0.434,28,82,133,0.01,0.02
awr_000051,2019-04-07T06:14:12.550000,36.03774,-117.80769,2.201,0.455,12,34,61,0.05,0.01
awr_000052,2019-04-07T08:08:49.099000,36.01599,-117.79845,2.59,0.4,6,22,16,0.01,0.01
awr_000053,2019-04-07T08:25:36.049000,36.01641,-117.79814,2.591,-0.455,1,4,3,0.0,0.0
awr_000054,2019-04-07T09:32:17.910000,36.02586,-117.77161,2.662,-0.172,14,36,62,0.02,0.01
awr_000055,2019-04-07T10:53:31.250000,36.09732,-117.86779,4.385,0.191,4,11,15,0.03,0.02
awr_000056,2019-04-07T10:58:02.716000,35.98776,-117.85886,4.948,0.338,1,2,4,0.0,0.02
awr_000057,2019-04-07T11:19:15.218000,36.11756,-117.83928,4.057,0.087,36,97,219,0.02,0.02
awr_000058,2019-04-07T11:45:23.751000,36.06759,-117.69343,2.459,0.229,11,48,52,0.01,0.02
awr_000059,2019-04-07T12:35:54.908000,35.78082,-117.66625,11.484,0.419,1,3,5,0.0,0.0
awr_000060,2019-04-07T13:47:31.434000,36.00849,-117.34437,9.018,0.779,20,98,84,0.04,0.04
awr_000061,2019-04-07T14:55:43.755000,36.06775,-117.69334,2.451,0.286,18,82,66,0.01,0.01
awr_000062,2019-04-07T15:28:26.478000,36.08029,-117.83764,3.398,0.061,2,7,10,0.04,0.01
awr_000063,2019-04-07T16:12:32.002000,35.96515,-117.76044,5.085,0.175,5,13,25,0.02,0.01
awr_000064,2019-04-07T16:56:10.303000,36.11746,-117.83896,4.039,0.369,50,162,318,0.02,0.02
awr_000065,2019-04-07T16:56:41.542000,36.11696,-117.83867,4.052,0.817,60,200,384,0.03,0.02
awr_000066,2019-04-07T17:16:37.518000,36.11651,-117.67135,3.261,0.177,61,238,247,0.02,0.02
awr_000067,2019-04-07T17:20:49.918000,35.54398,-118.32911,2.314,0.926,2,12,23,0.0,0.02
awr_000068,2019-04-07T17:21:28.486000,35.54388,-118.32923,2.325,0.807,2,9,21,0.01,0.02
awr_000069,2019-04-07T17:36:25.438000,36.0241,-117.77205,2.885,-0.363,6,15,22,0.03,0.01
awr_000070,2019-04-07T18:43:17.041000,36.07277,-117.68561,2.582,-0.081,13,61,33,0.01,0.02
awr_000071,2019-04-07T18:47:35.990000,36.0727,-117.68561,2.619,0.174,25,110,75,0.01,0.04
awr_000072,2019-04-07T18:52:58.223000,36.07304,-117.68512,2.587,2.058,81,551,508,0.02,0.05
awr_000073,2019-04-07T18:53:52.841000,36.07359,-117.68404,2.605,1.828,77,444,443,0.03,0.03
awr_000074,2019-04-07T18:57:41.992000,36.07194,-117.68634,2.632,0.295,80,481,387,0.02,0.02
awr_000075,2019-04-07T19:18:39.088000,36.07244,-117.68576,2.578,1.317,93,611,551,0.02,0.02
awr_000076,2019-04-07T19:27:04.447000,36.11683,-117.83878,4.018,1.018,56,237,321,0.03,0.03
awr_000077,2019-04-07T19:38:29.891000,36.07368,-117.68455,2.566,0.696,65,365,349,0.02,0.05
awr_000078,2019-04-07T19:51:24.235000,36.07251,-117.68562,2.616,1.894,79,613,487,0.01,0.03
awr_000079,2019-04-07T20:19:18.682000,36.07519,-117.68248,2.521,0.499,52,292,224,0.03,0.03
awr_000080,2019-04-07T22:08:18.794000,36.07182,-117.68619,2.631,0.151,48,235,140,0.01,0.02
awr_000081,2019-04-07T22:18:24.392000,36.00946,-117.80659,2.456,-0.407,3,9,9,0.01,0.11
awr_000082,2019-04-07T22:47:30.223000,36.09296,-117.83746,3.075,0.541,19,56,118,0.03,0.02
awr_000083,2019-04-08T00:22:41.128000,36.09329,-117.83752,3.059,0.474,10,37,50,0.03,0.02
awr_000084,2019-04-08T00:25:51.925000,36.09326,-117.83804,3.066,-0.024,13,27,82,0.04,0.01
awr_000085,2019-04-08T01:43:11.471000,36.12094,-117.84296,4.073,0.531,1,4,2,0.02,0.01
awr_000086,2019-04-08T01:48:28.004000,36.11752,-117.83946,4.078,-0.078,1,3,4,0.02,0.0
awr_000087,2019-04-08T04:19:24.427000,36.07211,-117.68583,2.639,0.679,51,340,212,0.01,0.03
awr_000088,2019-04-08T04:37:06.825000,36.11729,-117.83904,4.131,0.21,47,185,278,0.02,0.02
awr_000089,2019-04-08T04:48:52.729000,36.02985,-117.80845,2.209,-0.167,4,14,16,0.02,0.02
awr_000090,2019-04-08T05:02:32.828000,35.544,-118.32908,2.316,0.721,2,9,18,0.01,0.01
awr_000091,2019-04-08T06:45:08.410000,36.11795,-117.83829,3.986,0.421,44,149,214,0.03,0.02
awr_000092,2019-04-08T07:17:16.452000,35.78557,-117.59555,10.142,0.031,1,2,4,0.01,0.05
awr_000093,2019-04-08T08:57:42.375000,35.95801,-117.676,5.951,0.123,29,102,130,0.02,0.03
awr_000094,2019-04-08T10:22:48.725000,36.11777,-117.83917,4.077,0.136,55,146,268,0.02,0.02
awr_000095,2019-04-08T10:25:47.844000,35.41967,-117.76359,4.57,0.77,1,6,9,0.0,0.0
awr_000096,2019-04-08T10:29:34.796000,36.07537,-117.85571,3.943,0.32,51,201,204,0.01,0.02
awr_000097,2019-04-08T11:24:52.060000,36.1175,-117.83839,4.125,-0.15,3,4,17,0.01,0.02
awr_000098,2019-04-08T13:12:05.831000,36.07556,-117.88171,4.126,0.796,7,20,39,0.01,0.01
awr_000099,2019-04-08T14:04:19.703000,35.90528,-117.91347,7.996,0.115,1,1,6,0.0,0.0
awr_000100,2019-04-08T14:04:57.187000,35.90528,-117.91399,7.878,0.454,1,1,6,0.0,0.0
awr_000101,2019-04-08T18:38:28.968000,36.11717,-117.67102,3.476,0.153,42,151,120,0.02,0.03
awr_000102,2019-04-08T20:35:45.614000,35.96508,-117.66721,5.14,0.178,36,131,163,0.02,0.02
awr_000103,2019-04-08T22:26:26.189000,36.06832,-117.69046,2.645,0.073,63,281,377,0.01,0.02
awr_000104,2019-04-09T02:41:02.257000,36.03788,-117.81129,2.304,-0.134,5,14,21,0.01,0.01
awr_000105,2019-04-09T03:39:27.716000,36.04924,-117.58713,3.244,0.046,3,14,17,0.02,0.01
awr_000106,2019-04-09T06:15:14.579000,36.06855,-117.68941,2.721,0.307,66,401,366,0.01,0.01
awr_000107,2019-04-09T06:48:20.289000,36.0689,-117.68935,2.74,0.366,56,350,337,0.01,0.02
awr_000108,2019-04-09T07:02:51.413000,36.07521,-117.68195,1.951,0.915,23,108,111,0.02,0.03
awr_000109,2019-04-09T08:00:10.980000,36.04939,-117.58701,3.244,-0.088,3,10,15,0.02,0.01
awr_000110,2019-04-09T11:22:17.395000,35.41967,-117.76399,4.584,1.381,1,6,9,0.0,0.0
awr_000111,2019-04-09T11:46:37.485000,36.07531,-117.68175,2.007,0.128,11,48,64,0.03,0.01
awr_000112,2019-04-10T06:32:03.815000,36.06722,-117.69142,2.629,0.712,63,346,317,0.01,0.02
awr_000113,2019-04-10T06:36:50.754000,36.06734,-117.69134,2.627,0.339,52,172,195,0.01,0.01
awr_000114,2019-04-10T07:21:57.063000,36.06727,-117.69143,2.658,1.045,63,347,355,0.01,0.01
awr_000115,2019-04-10T12:07:46.204000,36.06688,-117.69151,2.61,0.468,58,301,284,0.02,0.02
awr_000116,2019-04-10T17:54:09.319000,35.96725,-117.91633,4.434,0.16,3,9,11,0.01,0.01
awr_000117,2019-04-10T18:00:48.800000,35.96747,-117.91633,4.453,0.364,6,22,16,0.01,0.01
awr_000118,2019-04-11T02:07:38.615000,36.03646,-117.81427,2.269,1.538,26,68,157,0.03,0.02
awr_000119,2019-04-11T04:31:33.843000,36.03632,-117.81297,1.413,-0.181,5,13,22,0.02,0.05
awr_000120,2019-04-11T09:56:07.191000,35.9666,-117.9918,7.662,0.381,26,75,123,0.01,0.01
awr_000121,2019-04-11T10:03:52.745000,36.06877,-117.68959,2.682,1.19,73,577,591,0.01,0.01
awr_000122,2019-04-11T10:32:35.790000,35.82303,-118.47057,9.887,1.464,2,16,16,0.01,0.01
awr_000123,2019-04-11T11:55:25.790000,36.06913,-117.68916,2.703,0.095,74,397,429,0.01,0.02
awr_000124,2019-04-11T17:37:33.756000,36.06522,-117.69503,5.327,-0.019,1,4,3,0.0,0.0
awr_000125,2019-04-11T22:07:46.785000,36.0692,-117.68937,2.678,0.459,80,546,549,0.01,0.02
awr_000126,2019-04-11T22:10:01.945000,36.0692,-117.68937,2.678,0.713,81,591,589,0.01,0.01
awr_000127,2019-04-12T00:22:16.519000,36.06788,-117.69074,2.643,1.513,70,566,576,0.01,0.03
awr_000128,2019-04-12T00:24:40.332000,36.06775,-117.69061,2.684,-0.176,54,241,333,0.01,0.01
awr_000129,2019-04-12T01:03:25.608000,36.06839,-117.69059,2.617,1.975,77,669,677,0.01,0.02
awr_000130,2019-04-12T01:06:43.424000,36.06758,-117.69084,2.692,0.802,74,582,492,0.02,0.02
awr_000131,2019-04-12T01:09:55.551000,36.06878,-117.69025,2.592,0.216,66,375,423,0.01,0.01
awr_000132,2019-04-12T03:54:16.534000,36.01049,-117.80525,3.269,-0.108,2,6,7,0.01,0.01
awr_000133,2019-04-12T05:36:24.931000,35.95925,-117.67943,4.192,0.169,1,4,5,0.02,0.0
awr_000134,2019-04-12T08:02:02.982000,35.92582,-117.71238,5.524,0.699,52,218,268,0.02,0.04
awr_000135,2019-04-12T15:35:14.770000,36.06878,-117.68985,2.648,1.105,77,561,644,0.01,0.02
awr_000136,2019-04-12T15:43:17.698000,36.06916,-117.68949,2.636,2.143,83,698,713,0.01,0.02
awr_000137,2019-04-12T15:43:36.320000,36.0687,-117.68985,2.634,1.224,54,230,225,0.01,0.01
awr_000138,2019-04-12T15:43:38.278000,36.06838,-117.69015,2.677,1.375,68,198,458,0.03,0.01
awr_000139,2019-04-12T15:44:59.217000,36.06965,-117.68915,2.603,1.052,85,527,515,0.01,0.02
awr_000140,2019-04-12T16:02:03.415000,36.07394,-117.88318,4.138,0.55,3,9,16,0.02,0.01
awr_000141,2019-04-12T16:22:53.772000,36.0684,-117.69041,2.653,0.573,70,353,422,0.01,0.01
awr_000142,2019-04-12T16:25:21.445000,36.06768,-117.69059,2.701,1.052,69,527,554,0.02,0.01
awr_000143,2019-04-12T16:28:12.167000,36.06718,-117.69092,2.686,1.815,73,620,573,0.02,0.02
awr_000144,2019-04-12T16:42:46.218000,36.07129,-117.68691,3.107,0.355,42,202,192,0.03,0.02
awr_000145,2019-04-12T16:49:21.428000,35.91969,-117.63103,10.867,0.761,2,6,8,0.02,0.01
awr_000146,2019-04-12T17:20:56.550000,36.07618,-117.68081,2.034,0.717,23,96,97,0.03,0.02
awr_000147,2019-04-12T19:43:23.643000,35.25636,-118.61045,4.164,1.896,2,9,10,0.01,0.0
awr_000148,2019-04-12T19:59:21.210000,36.06361,-117.99566,7.557,1.855,26,132,146,0.01,0.04
awr_000149,2019-04-12T20:33:51.274000,36.06912,-117.68933,2.671,2.02,32,87,215,0.03,0.03
awr_000150,2019-04-12T20:42:47.791000,36.06835,-117.68969,2.721,1.191,74,515,533,0.01,0.01
awr_000151,2019-04-12T20:46:10.403000,36.01961,-117.80076,2.598,-0.257,4,15,14,0.01,0.01
awr_000152,2019-04-12T20:52:23.570000,36.06895,-117.68991,2.59,0.126,47,153,208,0.01,0.01
awr_000153,2019-04-12T20:55:36.578000,36.06886,-117.69002,2.6,0.679,79,387,417,0.01,0.01
awr_000154,2019-04-12T21:07:23.166000,36.08106,-117.67458,1.67,1.572,13,59,57,0.03,0.03
awr_000155,2019-04-12T21:30:51.825000,36.06808,-117.69037,2.663,0.634,79,565,504,0.01,0.01
awr_000156,2019-04-12T21:31:10.119000,36.08114,-117.67473,1.651,0.469,4,19,19,0.01,0.01
awr_000157,2019-04-12T21:36:18.872000,36.06832,-117.69014,2.38,0.12,61,323,297,0.01,0.01
awr_000158,2019-04-12T21:47:45.693000,36.06827,-117.69018,2.671,0.382,71,357,396,0.01,0.01
awr_000159,2019-04-12T23:38:57.084000,36.06827,-117.6902,2.692,0.542,72,527,520,0.01,0.01
awr_000160,2019-04-13T02:56:05.205000,36.07655,-117.6809,1.989,0.464,16,74,83,0.02,0.02
awr_000161,2019-04-13T02:57:56.474000,36.06831,-117.68975,2.702,0.349,70,475,470,0.02,0.01
awr_000162,2019-04-13T05:47:40.571000,36.03215,-117.81484,2.187,0.099,45,120,222,0.02,0.02
awr_000163,2019-04-13T08:52:50.358000,36.06949,-117.68938,2.601,0.581,53,338,146,0.01,0.01
awr_000164,2019-04-13T08:52:52.689000,36.06955,-117.68928,2.559,1.183,81,438,573,0.02,0.02
awr_000165,2019-04-13T09:06:58.387000,36.06914,-117.68987,2.593,2.436,90,672,735,0.01,0.02
awr_000166,2019-04-13T09:08:05.428000,36.07021,-117.68848,2.566,0.317,70,286,388,0.01,0.01
awr_000167,2019-04-13T09:20:00.196000,35.53748,-118.4642,11.287,0.632,4,13,26,0.01,0.01
awr_000168,2019-04-13T09:22:44.724000,36.06828,-117.69044,2.642,0.029,71,334,414,0.01,0.01
awr_000169,2019-04-13T09:29:37.091000,35.53776,-118.46422,11.398,0.944,4,13,23,0.01,0.01
awr_000170,2019-04-13T09:42:49.866000,35.53734,-118.46428,11.335,0.87,5,19,28,0.02,0.01
awr_000171,2019-04-13T09:47:35.266000,35.53734,-118.46428,11.335,1.006,5,20,33,0.0,0.0
awr_000172,2019-04-13T09:57:47.436000,36.06904,-117.69106,2.102,0.316,22,95,64,0.02,0.03
awr_000173,2019-04-13T10:53:18.482000,36.06888,-117.68989,2.57,0.112,61,371,228,0.01,0.01
awr_000174,2019-04-13T13:11:55.976000,36.06968,-117.68945,2.567,1.511,84,509,630,0.02,0.02
awr_000175,2019-04-13T14:12:08.367000,36.07688,-117.6804,2.013,0.203,12,45,52,0.02,0.03
awr_000176,2019-04-13T16:51:34.191000,36.06677,-117.69182,2.645,0.369,64,353,270,0.01,0.03
awr_000177,2019-04-13T16:51:39.310000,36.0119,-117.80839,2.358,0.424,7,12,35,0.06,0.02
awr_000178,2019-04-13T19:43:36.766000,36.1148,-117.71391,2.393,1.062,1,8,13,0.01,0.0
awr_000179,2019-04-13T20:23:18.714000,36.07179,-117.68683,2.542,0.103,50,273,232,0.01,0.02
awr_000180,2019-04-13T20:59:59.940000,36.01007,-117.7903,2.846,0.312,7,31,30,0.01,0.01
awr_000181,2019-04-13T21:55:54.862000,36.1164,-117.67143,3.245,0.138,70,282,283,0.02,0.02
awr_000182,2019-04-13T23:04:52.791000,36.11635,-117.67131,3.248,0.652,90,373,374,0.01,0.01
awr_000183,2019-04-13T23:23:43.200000,36.01007,-117.7903,2.846,0.02,9,40,30,0.01,0.01
awr_000184,2019-04-13T23:53:57.027000,36.12415,-117.6765,2.316,1.561,2,9,10,0.06,0.02
awr_000185,2019-04-14T02:08:45.829000,35.95097,-117.67956,4.537,0.053,1,2,4,0.02,0.03
awr_000186,2019-04-14T02:56:29.457000,36.0726,-117.6858,2.496,0.56,76,454,319,0.01,0.02
awr_000187,2019-04-14T03:25:09.552000,35.53808,-118.46368,11.409,0.804,4,9,27,0.01,0.01
awr_000188,2019-04-14T03:26:01.338000,36.06916,-117.69033,2.572,1.368,48,261,163,0.03,0.03
awr_000189,2019-04-14T03:51:06.284000,36.07322,-117.62129,3.171,0.6,7,35,30,0.01,0.03
awr_000190,2019-04-14T04:54:21.205000,36.06684,-117.69176,2.661,-0.112,57,256,351,0.01,0.01
awr_000191,2019-04-14T05:21:50.769000,36.07521,-117.68224,1.994,0.437,23,93,118,0.02,0.03
awr_000192,2019-04-14T06:47:53.482000,36.02288,-117.80438,2.338,0.181,20,75,65,0.03,0.02
awr_000193,2019-04-14T08:36:22.266000,36.1148,-117.71391,2.393,1.69,1,8,13,0.01,0.0
awr_000194,2019-04-14T09:23:59.651000,36.16743,-118.07321,2.763,0.532,20,40,86,0.02,0.04
awr_000195,2019-04-14T09:27:48.746000,36.06901,-117.69015,2.544,0.359,42,212,138,0.05,0.04
awr_000196,2019-04-14T09:28:44.374000,36.06878,-117.69024,2.558,0.457,40,186,137,0.02,0.02
awr_000197,2019-04-14T09:43:14.966000,36.06865,-117.69024,2.577,0.169,17,72,88,0.01,0.02
awr_000198,2019-04-14T11:58:49.378000,36.06813,-117.68991,2.71,0.926,69,526,517,0.01,0.01
awr_000199,2019-04-14T12:12:16.743000,36.06808,-117.69001,2.684,-0.177,57,279,295,0.01,0.01
awr_000200,2019-04-14T12:12:47.406000,36.07459,-117.68125,2.065,-0.01,21,86,74,0.02,0.03
awr_000201,2019-04-14T12:22:31.258000,35.96503,-117.66748,5.157,0.22,31,132,128,0.02,0.02
awr_000202,2019-04-14T14:21:26.371000,36.08237,-117.85084,3.33,0.552,7,26,39,0.03,0.02
awr_000203,2019-04-14T15:50:18.445000,36.06876,-117.69024,2.562,-0.063,11,47,69,0.01,0.01
awr_000204,2019-04-14T16:45:08.248000,36.11624,-117.6711,3.218,0.389,63,266,190,0.01,0.02
awr_000205,2019-04-14T16:52:56.914000,35.9986,-117.92274,4.854,0.307,6,24,15,0.05,0.03
awr_000206,2019-04-14T17:32:08.298000,36.12141,-117.67124,5.411,0.044,2,7,10,0.01,0.01
awr_000207,2019-04-14T19:52:22.647000,36.04998,-117.59224,4.34,0.252,35,168,199,0.01,0.01
awr_000208,2019-04-14T19:57:50.532000,36.11637,-117.67112,3.219,1.514,84,362,308,0.01,0.02
awr_000209,2019-04-14T20:15:36.734000,36.11611,-117.67147,3.218,0.416,80,333,311,0.01,0.01
awr_000210,2019-04-14T20:57:37.673000,36.02955,-117.81551,2.249,-0.054,26,66,129,0.02,0.01
awr_000211,2019-04-14T22:14:27.685000,36.06875,-117.69024,2.558,0.139,27,123,100,0.01,0.01
awr_000212,2019-04-14T22:54:46.766000,35.83437,-117.44198,10.301,0.686,3,15,13,0.01,0.01
awr_000213,2019-04-15T03:08:46.659000,35.75082,-118.0276,7.579,0.759,4,16,11,0.05,0.05
awr_000214,2019-04-15T03:17:02.790000,35.95789,-117.67623,5.996,0.387,46,237,267,0.02,0.03
awr_000215,2019-04-15T03:20:45.975000,36.01165,-117.80502,2.192,-0.394,3,7,12,0.01,0.01
awr_000216,2019-04-15T03:41:58.136000,35.94056,-117.71345,10.592,0.192,9,26,57,0.01,0.01
awr_000217,2019-04-15T12:02:28.956000,36.07459,-117.68125,2.065,0.333,39,175,134,0.02,0.04
awr_000218,2019-04-15T13:59:27.354000,36.08061,-117.67495,0.204,0.144,4,16,11,0.04,0.03
awr_000219,2019-04-15T16:08:30.433000,36.10922,-117.58886,3.18,0.445,53,263,269,0.01,0.02
awr_000220,2019-04-15T16:34:58.371000,35.2567,-118.6113,4.164,1.523,2,10,9,0.01,0.01
awr_000221,2019-04-16T01:54:27.275000,35.94012,-117.65457,4.954,0.333,10,35,35,0.03,0.05
awr_000222,2019-04-16T04:33:07.368000,36.03885,-117.86705,3.973,0.042,10,21,43,0.02,0.01
awr_000223,2019-04-16T05:27:07.815000,36.03853,-117.77476,2.61,0.118,15,62,37,0.01,0.01
awr_000224,2019-04-16T05:36:52.378000,36.03882,-117.77429,2.654,0.227,66,282,295,0.02,0.02
awr_000225,2019-04-16T05:44:10.248000,36.03882,-117.77429,2.654,0.664,67,293,319,0.02,0.02
awr_000226,2019-04-16T06:33:13.351000,36.03732,-117.77181,2.559,1.262,12,43,40,0.02,0.02
awr_000227,2019-04-16T07:36:33.994000,36.03912,-117.8658,3.92,0.456,5,7,26,0.01,0.01
awr_000228,2019-04-16T09:53:17.605000,36.02575,-117.80835,2.152,-0.144,3,13,10,0.01,0.01
awr_000229,2019-04-16T10:21:10.751000,36.03797,-117.77137,2.482,0.112,12,49,28,0.01,0.02
awr_000230,2019-04-16T12:04:00.218000,36.11614,-117.67165,3.217,0.836,95,423,404,0.02,0.02
awr_000231,2019-04-16T14:54:45.785000,36.02559,-117.77496,3.114,0.3,16,72,78,0.06,0.01
awr_000232,2019-04-16T18:54:33.902000,35.5759,-118.23578,4.642,1.74,2,8,7,0.02,0.02
awr_000233,2019-04-17T03:32:06.160000,36.12476,-117.67684,2.254,1.816,4,26,28,0.03,0.03
awr_000234,2019-04-17T03:51:35.215000,36.03893,-117.77128,2.553,0.197,15,60,51,0.06,0.03
awr_000235,2019-04-17T03:53:32.878000,36.03893,-117.7717,2.498,0.292,11,45,43,0.01,0.02
awr_000236,2019-04-17T06:46:41.977000,36.00716,-117.68544,3.917,-0.207,1,3,3,0.01,0.01
awr_000237,2019-04-17T11:19:43.578000,35.28861,-118.41744,13.018,0.968,2,4,9,0.01,0.01
awr_000238,2019-04-17T11:47:05.260000,35.39032,-117.83638,7.937,1.707,7,52,24,0.01,0.06
awr_000239,2019-04-17T14:34:07.635000,36.07903,-117.8676,4.95,1.169,19,78,107,0.01,0.02
awr_000240,2019-04-17T14:45:27.686000,36.03531,-117.7761,2.734,-0.036,8,38,34,0.01,0.02
awr_000241,2019-04-17T18:24:30.157000,35.9092,-117.70935,11.018,0.288,1,1,6,0.01,0.01
awr_000242,2019-04-17T21:10:05.793000,36.02878,-117.77395,2.916,-0.085,19,69,72,0.02,0.02
awr_000243,2019-04-18T01:01:58.116000,35.32581,-118.50853,6.366,1.767,1,3,9,0.0,0.0
awr_000244,2019-04-18T01:20:13.949000,36.07914,-117.86731,4.95,0.982,18,57,107,0.01,0.01
awr_000245,2019-04-18T02:18:53.925000,36.00986,-117.80617,2.465,-0.3,5,16,27,0.01,0.01
awr_000246,2019-04-18T02:19:21.525000,36.00961,-117.80631,2.447,0.744,25,105,177,0.02,0.01
awr_000247,2019-04-18T02:20:00.496000,36.01064,-117.80577,2.376,0.845,4,14,15,0.02,0.01
awr_000248,2019-04-18T10:05:35.633000,36.07842,-117.87425,5.443,0.532,1,2,4,0.01,0.02
awr_000249,2019-04-18T12:13:11.751000,35.89977,-117.98714,11.452,0.422,10,20,60,0.01,0.01
awr_000250,2019-04-18T12:24:45.246000,35.96728,-117.67251,6.711,0.075,3,10,10,0.01,0.01
