time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2011-11-08T02:46:57.000Z,35.531,-96.788,5,4.8,mwr,342,19.2,,,us,usp000jajb,2022-08-08T19:59:27.804Z,"9 km SSE of Sparks, Oklahoma",earthquake,,,,,reviewed,tul,us
2011-11-08T03:05:07.000Z,35.52,-96.786,5,3.1,ml,6,88.3,,,us,usp000jaje,2014-11-07T01:46:19.225Z,"9 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-08T19:05:18.000Z,35.526,-96.77,3,3.5,mwr,92,23.5,,,us,usp000jakf,2022-08-08T20:01:28.797Z,"8 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,us
2011-11-09T12:08:36.000Z,35.534,-96.761,5,3.4,ml,22,73.3,,,us,usp000jamh,2022-08-08T20:04:21.407Z,"8 km NW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-09T16:22:53.000Z,35.521,-96.786,3.1,2.9,md,9,105,,,us,usp000jamu,2014-11-07T01:46:19.622Z,"9 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-10T08:36:38.000Z,35.487,-96.85,3.3,3.2,md,47,41.3,,,us,usp000jans,2022-08-08T20:05:16.666Z,"5 km ESE of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-11T19:19:16.000Z,35.537,-96.753,3.6,3.2,ml,28,57,,,us,usp000jaq6,2014-11-07T01:46:20.170Z,"8 km NW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-12T01:18:43.000Z,35.545,-96.73,3.9,3.1,ml,28,55.5,,,us,usp000jaqc,2022-08-08T20:07:08.293Z,"7 km NNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-12T01:41:03.000Z,35.532,-96.753,6.2,3.2,ml,10,79.9,,,us,usp000jaqe,2014-11-07T01:46:20.196Z,"7 km NW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-12T06:43:40.510Z,35.604,-96.857,5,1.6,mblg,7,123.9,,0.87,us,usp000jaqu,2014-11-07T01:46:20.228Z,"3 km W of Sparks, Oklahoma",earthquake,,,,,reviewed,us,us
2011-11-13T09:01:25.000Z,35.464,-96.869,3.3,2.5,ml,14,109.3,,,us,usp000jatr,2017-06-26T21:31:10.329Z,"5 km SE of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-13T09:49:12.000Z,35.457,-96.876,4.8,3.2,ml,36,59.1,,,us,usp000jatz,2022-08-08T20:09:11.634Z,"5 km SSE of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-13T10:33:57.000Z,35.465,-96.878,4.6,2.9,ml,18,115.4,,,us,usp000jau1,2014-11-07T01:46:20.894Z,"4 km SSE of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-14T05:31:42.000Z,35.521,-96.782,3.1,3.2,ml,42,33.9,,,us,usp000jav4,2022-08-08T20:10:06.919Z,"9 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-14T20:26:39.000Z,35.543,-96.752,3.3,2.5,md,12,75.2,,,us,usp000javy,2014-11-07T01:46:21.213Z,"8 km NW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-14T23:48:37.000Z,35.476,-96.868,5,2.4,ml,17,63.5,,,us,usp000jaw2,2022-08-08T20:10:59.523Z,"4 km SE of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-15T00:57:12.000Z,35.521,-96.775,5,2.2,ml,10,89.1,,,us,usp000jaw4,2014-11-07T01:46:21.236Z,"9 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-16T05:17:11.000Z,35.521,-96.785,5,2.8,ml,17,61.1,,,us,usp000jaxq,2022-08-08T20:11:57.192Z,"9 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-16T15:27:16.000Z,35.518,-96.779,5,2.7,ml,10,65.3,,,us,usp000jay8,2014-11-07T01:46:21.729Z,"9 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-16T17:10:52.000Z,35.505,-96.803,5,3.2,ml,19,59.7,,,us,usp000jaye,2017-06-26T21:30:13.364Z,"9 km E of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-18T07:41:08.000Z,35.541,-96.762,7.4,3.3,ml,22,62.7,,,us,usp000jb1g,2022-08-08T20:14:38.774Z,"9 km SE of Sparks, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-20T05:54:02.000Z,35.551,-96.745,3.9,2.8,ml,18,77.3,,,us,usp000jb53,2022-08-08T20:06:11.609Z,"8 km NW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-21T21:46:09.000Z,35.503,-96.81,5,3,ml,20,59.7,,,us,usp000jb7w,2022-08-08T20:16:28.470Z,"8 km E of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-24T21:11:04.000Z,35.563,-96.788,6.2,3.4,mwr,45,24.9,,,us,usp000jbbx,2022-08-08T20:17:27.828Z,"5 km SSE of Sparks, Oklahoma",earthquake,,,,,reviewed,tul,us
2011-11-25T20:08:55.000Z,35.461,-96.887,5,2.5,ml,21,103,,,us,usp000jbd5,2014-11-07T01:46:24.805Z,"4 km SSE of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-25T20:09:47.000Z,35.461,-96.881,0.1,3.4,ml,46,35.6,,,us,usp000jbd6,2022-08-08T20:18:22.511Z,"5 km SSE of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-25T21:24:29.000Z,35.512,-96.746,3.8,3.4,ml,26,58.5,,,us,usp000jbd8,2022-08-08T20:19:16.476Z,"6 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-26T12:55:27.220Z,35.513,-96.766,5,2.4,mblg,13,61.6,,0.56,us,usp000jbe4,2017-06-26T21:28:34.915Z,"7 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,us,us
2011-11-27T05:36:03.100Z,35.454,-96.874,5,1.4,mblg,13,112.5,,0.44,us,usp000jbfe,2014-11-07T01:46:25.087Z,"6 km SSE of Meeker, Oklahoma",earthquake,,,,,reviewed,us,us
2011-11-29T09:22:33.000Z,35.536,-96.759,3.8,2.7,ml,19,73.2,,,us,usp000jbkb,2022-08-08T20:13:44.310Z,"8 km NW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-12-03T04:42:12.000Z,35.525,-96.768,9.3,3.3,ml,16,87.5,,,us,usp000jbru,2020-03-19T20:46:59.606Z,"8 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-12-03T05:05:08.000Z,35.519,-96.785,5,2.3,ml,9,135.4,,,us,usp000jbrv,2017-06-26T21:27:40.683Z,"9 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
