#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName | EventType
2016p858053|2016-11-13T11:30:26|-42.142|173.828|6.5|GNS|GNS|GNS|2016p858053|M|5.1|GNS|30 km north-east of Kaikoura|earthquake
2016p858054|2016-11-13T11:30:40|-42.704|172.756|5.0|GNS|GNS|GNS|2016p858054|M|4.0|GNS|10 km north-west of Culverden|earthquake
2016p858057|2016-11-13T11:31:24|-42.146|173.617|6.9|GNS|GNS|GNS|2016p858057|M|4.8|GNS|25 km north of Kaikoura|earthquake
2016p858055|2016-11-13T11:32:07|-42.246|173.673|11.3|GNS|GNS|GNS|2016p858055|M|6.2|GNS|15 km north of Kaikoura|earthquake
2016p858058|2016-11-13T11:33:49|-41.815|174.210|5.5|GNS|GNS|GNS|2016p858058|M|5.5|GNS|15 km south-east of Seddon|earthquake
2016p858059|2016-11-13T11:35:05|-42.230|173.783|5.0|GNS|GNS|GNS|2016p858059|M|4.7|GNS|20 km north-east of Kaikoura|earthquake
2016p858062|2016-11-13T11:35:42|-41.749|174.202|8.5|GNS|GNS|GNS|2016p858062|M|5.0|GNS|10 km south-east of Seddon|earthquake
2016p858072|2016-11-13T11:40:22|-42.662|172.761|4.2|GNS|GNS|GNS|2016p858072|M|4.1|GNS|15 km north-west of Culverden|earthquake
2016p858069|2016-11-13T11:40:48|-42.327|173.477|9.8|GNS|GNS|GNS|2016p858069|M|5.0|GNS|15 km north-west of Kaikoura|earthquake
2016p858071|2016-11-13T11:41:08|-42.404|173.707|1.4|GNS|GNS|GNS|2016p858071|MLv|4.1|GNS|Within 5 km of Kaikoura|earthquake
2016p858074|2016-11-13T11:41:48|-41.795|174.259|5.8|GNS|GNS|GNS|2016p858074|M|5.6|GNS|20 km south-east of Seddon|earthquake
2016p858076|2016-11-13T11:42:45|-41.808|174.033|11.8|GNS|GNS|GNS|2016p858076|M|4.7|GNS|15 km south of Seddon|earthquake
2016p858077|2016-11-13T11:44:16|-41.903|173.887|12.7|GNS|GNS|GNS|2016p858077|M|4.1|GNS|30 km south-west of Seddon|earthquake
2016p858080|2016-11-13T11:45:25|-41.686|174.230|11.6|GNS|GNS|GNS|2016p858080|M|4.4|GNS|10 km east of Seddon|earthquake
2016p858081|2016-11-13T11:45:52|-42.002|173.672|6.6|GNS|GNS|GNS|2016p858081|M|4.6|GNS|40 km north of Kaikoura|earthquake
2016p858083|2016-11-13T11:47:03|-41.685|174.198|8.6|GNS|GNS|GNS|2016p858083|M|4.2|GNS|10 km east of Seddon|earthquake
2016p858085|2016-11-13T11:47:50|-41.985|173.729|8.8|GNS|GNS|GNS|2016p858085|M|4.8|GNS|45 km south-west of Seddon|earthquake
2016p858086|2016-11-13T11:49:02|-41.727|174.235|13.9|GNS|GNS|GNS|2016p858086|M|4.6|GNS|15 km south-east of Seddon|earthquake
2016p858089|2016-11-13T11:50:13|-41.759|174.275|3.3|GNS|GNS|GNS|2016p858089|M|4.6|GNS|15 km south-east of Seddon|earthquake
2016p858093|2016-11-13T11:51:03|-42.350|173.455|4.9|GNS|GNS|GNS|2016p858093|M|4.5|GNS|15 km west of Kaikoura|earthquake
2016p858094|2016-11-13T11:52:44|-42.201|173.603|9.0|GNS|GNS|GNS|2016p858094|Mw(mB)|6.1|GNS|20 km north of Kaikoura|earthquake
2016p858097|2016-11-13T11:53:14|-41.785|174.420|5.0|GNS|GNS|GNS|2016p858097|M|5.2|GNS|30 km south-east of Seddon|earthquake
2016p858095|2016-11-13T11:53:41|-41.723|174.276|5.0|GNS|GNS|GNS|2016p858095|M|5.3|GNS|15 km east of Seddon|earthquake
2016p858109|2016-11-13T11:59:37|-42.287|173.817|10.0|GNS|GNS|GNS|2016p858109|M|4.6|GNS|15 km north-east of Kaikoura|earthquake
2016p858108|2016-11-13T12:00:23|-41.869|173.974|9.1|GNS|GNS|GNS|2016p858108|M|4.6|GNS|20 km south of Seddon|earthquake
2016p858110|2016-11-13T12:00:58|-41.612|174.339|5.0|GNS|GNS|GNS|2016p858110|M|4.1|GNS|20 km east of Seddon|earthquake
2016p858115|2016-11-13T12:03:55|-41.732|174.165|5.0|GNS|GNS|GNS|2016p858115|M|5.1|GNS|10 km south-east of Seddon|earthquake
2016p858116|2016-11-13T12:04:13|-41.665|174.345|10.0|GNS|GNS|GNS|2016p858116|M|5.1|GNS|20 km east of Seddon|earthquake
2016p858117|2016-11-13T12:04:26|-41.682|174.251|5.5|GNS|GNS|GNS|2016p858117|M|4.9|GNS|15 km east of Seddon|earthquake
2016p858118|2016-11-13T12:06:39|-42.586|172.803|0.5|GNS|GNS|GNS|2016p858118|M|4.0|GNS|5 km south of Hanmer Springs|earthquake
2016p858122|2016-11-13T12:07:29|-42.145|173.600|12.3|GNS|GNS|GNS|2016p858122|M|4.6|GNS|25 km north of Kaikoura|earthquake
2016p858126|2016-11-13T12:10:00|-41.664|174.321|6.7|GNS|GNS|GNS|2016p858126|M|4.6|GNS|20 km east of Seddon|earthquake
2016p858128|2016-11-13T12:10:21|-41.870|173.971|7.3|GNS|GNS|GNS|2016p858128|M|4.5|GNS|20 km south of Seddon|earthquake
2016p858131|2016-11-13T12:11:45|-41.939|174.232|5.0|GNS|GNS|GNS|2016p858131|M|4.4|GNS|30 km south-east of Seddon|earthquake
2016p858134|2016-11-13T12:12:00|-41.957|173.985|8.1|GNS|GNS|GNS|2016p858134|M|5.0|GNS|30 km south of Seddon|earthquake
2016p858132|2016-11-13T12:13:21|-41.796|173.973|11.6|GNS|GNS|GNS|2016p858132|M|4.5|GNS|15 km south-west of Seddon|earthquake
2016p858133|2016-11-13T12:14:32|-41.721|174.181|15.1|GNS|GNS|GNS|2016p858133|M|4.1|GNS|10 km south-east of Seddon|earthquake
2016p858139|2016-11-13T12:16:27|-41.843|174.010|12.4|GNS|GNS|GNS|2016p858139|M|4.2|GNS|15 km south of Seddon|earthquake
2016p858144|2016-11-13T12:17:58|-42.192|173.818|16.9|GNS|GNS|GNS|2016p858144|M|4.5|GNS|25 km north-east of Kaikoura|earthquake
2016p858148|2016-11-13T12:19:10|-41.670|174.206|9.4|GNS|GNS|GNS|2016p858148|M|3.8|GNS|10 km east of Seddon|earthquake
2016p858145|2016-11-13T12:19:29|-42.592|172.871|38.7|GNS|GNS|GNS|2016p858145|M|4.4|GNS|5 km south-east of Hanmer Springs|earthquake
2016p858147|2016-11-13T12:20:40|-42.287|173.979|9.8|GNS|GNS|GNS|2016p858147|M|5.0|GNS|25 km north-east of Kaikoura|earthquake
2016p858146|2016-11-13T12:22:13|-41.734|174.276|5.2|GNS|GNS|GNS|2016p858146|M|5.1|GNS|15 km east of Seddon|earthquake
2016p858149|2016-11-13T12:22:20|-42.627|172.875|11.9|GNS|GNS|GNS|2016p858149|M|4.6|GNS|10 km south of Hanmer Springs|earthquake
2016p858151|2016-11-13T12:23:09|-42.452|173.150|10.0|GNS|GNS|GNS|2016p858151|M|5.2|GNS|25 km east of Hanmer Springs|earthquake
2016p858152|2016-11-13T12:23:37|-42.528|173.163|5.4|GNS|GNS|GNS|2016p858152|M|4.9|GNS|25 km east of Hanmer Springs|earthquake
2016p858150|2016-11-13T12:24:25|-42.437|173.203|8.1|GNS|GNS|GNS|2016p858150|M|4.6|GNS|30 km east of Hanmer Springs|earthquake
2016p858156|2016-11-13T12:25:55|-42.670|172.869|10.1|GNS|GNS|GNS|2016p858156|M|5.3|GNS|10 km north of Culverden|earthquake
2016p858160|2016-11-13T12:28:00|-42.325|173.737|18.8|GNS|GNS|GNS|2016p858160|M|5.2|GNS|5 km north-east of Kaikoura|earthquake
2016p858167|2016-11-13T12:31:23|-41.866|174.165|7.3|GNS|GNS|GNS|2016p858167|M|4.6|GNS|20 km south of Seddon|earthquake
2016p858168|2016-11-13T12:31:47|-42.643|172.826|8.5|GNS|GNS|GNS|2016p858168|M|4.0|GNS|10 km south of Hanmer Springs|earthquake
2016p858171|2016-11-13T12:32:21|-42.279|173.497|5.0|GNS|GNS|GNS|2016p858171|M|4.4|GNS|20 km north-west of Kaikoura|earthquake
2016p858170|2016-11-13T12:33:16|-41.916|173.977|8.8|GNS|GNS|GNS|2016p858170|M|4.6|GNS|25 km south of Seddon|earthquake
2016p858172|2016-11-13T12:34:18|-42.625|172.914|13.3|GNS|GNS|GNS|2016p858172|M|4.1|GNS|10 km south-east of Hanmer Springs|earthquake
2016p858166|2016-11-13T12:35:32|-42.649|172.887|11.7|GNS|GNS|GNS|2016p858166|M|3.9|GNS|10 km north of Culverden|earthquake
2016p858178|2016-11-13T12:37:44|-42.410|173.336|6.1|GNS|GNS|GNS|2016p858178|M|4.8|GNS|25 km west of Kaikoura|earthquake
2016p858180|2016-11-13T12:38:38|-41.710|174.262|4.9|GNS|GNS|GNS|2016p858180|M|5.3|GNS|15 km east of Seddon|earthquake
2016p858181|2016-11-13T12:39:56|-41.850|173.948|12.0|GNS|GNS|GNS|2016p858181|M|3.8|GNS|20 km south-west of Seddon|earthquake
2016p858184|2016-11-13T12:40:54|-42.429|173.333|8.0|GNS|GNS|GNS|2016p858184|MLv|4.9|GNS|25 km west of Kaikoura|earthquake
2016p858185|2016-11-13T12:41:24|-42.529|173.174|5.0|GNS|GNS|GNS|2016p858185|M|4.5|GNS|25 km east of Hanmer Springs|earthquake
2016p858192|2016-11-13T12:45:10|-42.496|173.283|7.0|GNS|GNS|GNS|2016p858192|M|4.5|GNS|30 km west of Kaikoura|earthquake
2016p858193|2016-11-13T12:45:43|-41.763|174.211|5.0|GNS|GNS|GNS|2016p858193|M|4.6|GNS|15 km south-east of Seddon|earthquake
2016p858195|2016-11-13T12:46:29|-41.721|174.303|6.2|GNS|GNS|GNS|2016p858195|M|4.7|GNS|20 km east of Seddon|earthquake
2016p858199|2016-11-13T12:48:34|-42.296|173.734|16.4|GNS|GNS|GNS|2016p858199|M|4.4|GNS|10 km north of Kaikoura|earthquake
2016p858206|2016-11-13T12:52:19|-42.223|173.672|5.0|GNS|GNS|GNS|2016p858206|M|4.5|GNS|15 km north of Kaikoura|earthquake
2016p858207|2016-11-13T12:52:52|-42.148|173.582|9.5|GNS|GNS|GNS|2016p858207|M|5.4|GNS|25 km north of Kaikoura|earthquake
2016p858213|2016-11-13T12:56:17|-42.546|173.751|6.1|GNS|GNS|GNS|2016p858213|M|4.5|GNS|15 km south of Kaikoura|earthquake
2016p858216|2016-11-13T12:56:53|-41.849|174.100|13.8|GNS|GNS|GNS|2016p858216|M|3.9|GNS|15 km south of Seddon|earthquake
2016p858217|2016-11-13T12:57:53|-41.636|174.241|5.0|GNS|GNS|GNS|2016p858217|M|3.7|GNS|10 km east of Seddon|earthquake
2016p858219|2016-11-13T12:58:30|-41.944|174.202|5.0|GNS|GNS|GNS|2016p858219|M|4.0|GNS|30 km south of Seddon|earthquake
2016p858218|2016-11-13T12:59:09|-41.696|174.276|4.7|GNS|GNS|GNS|2016p858218|M|4.6|GNS|15 km east of Seddon|earthquake
2016p858231|2016-11-13T13:04:39|-41.719|174.261|6.9|GNS|GNS|GNS|2016p858231|M|4.1|GNS|15 km east of Seddon|earthquake
2016p858229|2016-11-13T13:04:59|-41.746|174.275|4.7|GNS|GNS|GNS|2016p858229|M|4.4|GNS|15 km south-east of Seddon|earthquake
2016p858230|2016-11-13T13:05:40|-41.739|174.178|4.9|GNS|GNS|GNS|2016p858230|M|4.2|GNS|10 km south-east of Seddon|earthquake
2016p858239|2016-11-13T13:09:59|-41.779|174.169|8.6|GNS|GNS|GNS|2016p858239|M|4.1|GNS|10 km south-east of Seddon|earthquake
2016p858244|2016-11-13T13:12:31|-41.801|174.009|12.5|GNS|GNS|GNS|2016p858244|M|4.6|GNS|15 km south of Seddon|earthquake
2016p858251|2016-11-13T13:14:35|-42.035|174.029|5.8|GNS|GNS|GNS|2016p858251|M|4.0|GNS|40 km south of Seddon|earthquake
2016p858250|2016-11-13T13:15:47|-42.495|173.264|11.2|GNS|GNS|GNS|2016p858250|M|4.4|GNS|35 km east of Hanmer Springs|earthquake
2016p858253|2016-11-13T13:17:15|-41.715|174.262|5.8|GNS|GNS|GNS|2016p858253|M|3.9|GNS|15 km east of Seddon|earthquake
2016p858254|2016-11-13T13:17:48|-42.345|173.818|11.6|GNS|GNS|GNS|2016p858254|M|4.7|GNS|10 km north-east of Kaikoura|earthquake
2016p858255|2016-11-13T13:18:42|-41.786|174.070|11.9|GNS|GNS|GNS|2016p858255|M|4.1|GNS|10 km south of Seddon|earthquake
2016p858259|2016-11-13T13:20:39|-41.689|174.184|5.0|GNS|GNS|GNS|2016p858259|M|4.0|GNS|5 km east of Seddon|earthquake
2016p858260|2016-11-13T13:21:11|-41.796|174.234|5.0|GNS|GNS|GNS|2016p858260|M|5.8|GNS|15 km south-east of Seddon|earthquake
2016p858268|2016-11-13T13:25:25|-41.722|174.376|7.3|GNS|GNS|GNS|2016p858268|M|4.4|GNS|25 km east of Seddon|earthquake
2016p858272|2016-11-13T13:26:58|-41.735|174.184|20.5|GNS|GNS|GNS|2016p858272|M|3.4|GNS|10 km south-east of Seddon|earthquake
2016p858271|2016-11-13T13:27:17|-41.682|174.217|13.0|GNS|GNS|GNS|2016p858271|M|4.4|GNS|10 km east of Seddon|earthquake
2016p858276|2016-11-13T13:29:43|-41.747|174.294|5.7|GNS|GNS|GNS|2016p858276|M|4.5|GNS|20 km south-east of Seddon|earthquake
2016p858279|2016-11-13T13:31:27|-42.274|173.646|14.0|GNS|GNS|GNS|2016p858279|M|6.0|GNS|10 km north of Kaikoura|earthquake
2016p858281|2016-11-13T13:33:38|-42.238|173.821|5.0|GNS|GNS|GNS|2016p858281|M|4.4|GNS|20 km north-east of Kaikoura|earthquake
2016p858286|2016-11-13T13:35:14|-41.782|173.504|18.1|GNS|GNS|GNS|2016p858286|M|4.0|GNS|45 km south-west of Blenheim|earthquake
2016p858290|2016-11-13T13:37:25|-42.461|173.197|10.5|GNS|GNS|GNS|2016p858290|M|4.3|GNS|30 km east of Hanmer Springs|earthquake
2016p858295|2016-11-13T13:38:25|-41.980|173.878|5.0|GNS|GNS|GNS|2016p858295|M|3.8|GNS|35 km south-west of Seddon|earthquake
2016p858296|2016-11-13T13:39:44|-41.989|173.680|5.7|GNS|GNS|GNS|2016p858296|M|4.0|GNS|45 km north of Kaikoura|earthquake
2016p858298|2016-11-13T13:40:04|-42.025|173.814|5.0|GNS|GNS|GNS|2016p858298|M|4.1|GNS|40 km north of Kaikoura|earthquake
2016p858297|2016-11-13T13:41:02|-41.950|174.073|4.8|GNS|GNS|GNS|2016p858297|M|4.1|GNS|30 km south of Seddon|earthquake
2016p858300|2016-11-13T13:42:29|-42.288|173.678|10.8|GNS|GNS|GNS|2016p858300|M|4.2|GNS|10 km north of Kaikoura|earthquake
2016p858301|2016-11-13T13:43:03|-42.055|173.803|11.1|GNS|GNS|GNS|2016p858301|M|4.2|GNS|35 km north of Kaikoura|earthquake
2016p858305|2016-11-13T13:44:23|-42.227|173.747|5.0|GNS|GNS|GNS|2016p858305|M|4.1|GNS|20 km north of Kaikoura|earthquake
2016p858304|2016-11-13T13:44:51|-41.655|174.144|9.9|GNS|GNS|GNS|2016p858304|M|4.0|GNS|5 km east of Seddon|earthquake
2016p858307|2016-11-13T13:46:15|-42.151|173.632|5.0|GNS|GNS|GNS|2016p858307|M|4.3|GNS|25 km north of Kaikoura|earthquake
2016p858309|2016-11-13T13:46:51|-42.511|173.213|13.1|GNS|GNS|GNS|2016p858309|M|4.1|GNS|30 km east of Hanmer Springs|earthquake
2016p858312|2016-11-13T13:49:09|-41.701|174.279|6.6|GNS|GNS|GNS|2016p858312|M|4.0|GNS|15 km east of Seddon|earthquake
2016p858314|2016-11-13T13:50:01|-41.756|174.290|5.2|GNS|GNS|GNS|2016p858314|M|5.0|GNS|20 km south-east of Seddon|earthquake
2016p858321|2016-11-13T13:53:36|-41.841|174.164|7.0|GNS|GNS|GNS|2016p858321|M|4.6|GNS|20 km south of Seddon|earthquake
2016p858323|2016-11-13T13:54:39|-42.335|174.061|8.6|GNS|GNS|GNS|2016p858323|M|4.5|GNS|30 km east of Kaikoura|earthquake
2016p858327|2016-11-13T13:56:42|-42.641|172.776|11.2|GNS|GNS|GNS|2016p858327|M|4.1|GNS|10 km south of Hanmer Springs|earthquake
2016p858329|2016-11-13T13:58:08|-41.783|174.217|12.3|GNS|GNS|GNS|2016p858329|M|4.0|GNS|15 km south-east of Seddon|earthquake
2016p858330|2016-11-13T13:58:36|-42.224|173.583|8.0|GNS|GNS|GNS|2016p858330|M|4.0|GNS|20 km north of Kaikoura|earthquake
2016p858331|2016-11-13T13:58:57|-42.549|173.322|14.8|GNS|GNS|GNS|2016p858331|M|3.5|GNS|30 km north of Cheviot|earthquake
2016p858332|2016-11-13T13:59:42|-42.552|173.406|11.9|GNS|GNS|GNS|2016p858332|M|4.4|GNS|25 km south-west of Kaikoura|earthquake
2016p858334|2016-11-13T14:00:27|-42.045|173.866|5.0|GNS|GNS|GNS|2016p858334|MLv|4.3|GNS|40 km north of Kaikoura|earthquake
2016p858335|2016-11-13T14:01:23|-42.027|173.649|9.8|GNS|GNS|GNS|2016p858335|M|4.2|GNS|40 km north of Kaikoura|earthquake
2016p858337|2016-11-13T14:03:41|-41.765|174.209|9.2|GNS|GNS|GNS|2016p858337|M|4.0|GNS|15 km south-east of Seddon|earthquake
2016p858338|2016-11-13T14:04:03|-42.424|173.310|27.1|GNS|GNS|GNS|2016p858338|M|4.4|GNS|30 km west of Kaikoura|earthquake
2016p858340|2016-11-13T14:04:23|-42.598|173.016|11.9|GNS|GNS|GNS|2016p858340|M|5.1|GNS|15 km south-east of Hanmer Springs|earthquake
2016p858341|2016-11-13T14:05:20|-42.259|173.913|5.0|GNS|GNS|GNS|2016p858341|M|4.4|GNS|20 km north-east of Kaikoura|earthquake
2016p858343|2016-11-13T14:06:26|-42.179|173.701|5.0|GNS|GNS|GNS|2016p858343|M|3.8|GNS|20 km north of Kaikoura|earthquake
2016p858347|2016-11-13T14:07:23|-42.677|172.777|8.5|GNS|GNS|GNS|2016p858347|M|4.8|GNS|10 km north-west of Culverden|earthquake
2016p858348|2016-11-13T14:08:10|-41.782|174.057|11.0|GNS|GNS|GNS|2016p858348|M|4.3|GNS|10 km south of Seddon|earthquake
2016p858352|2016-11-13T14:08:42|-42.652|172.786|5.0|GNS|GNS|GNS|2016p858352|M|4.7|GNS|15 km south of Hanmer Springs|earthquake
2016p858351|2016-11-13T14:09:28|-41.735|174.334|6.5|GNS|GNS|GNS|2016p858351|M|4.7|GNS|20 km east of Seddon|earthquake
2016p858354|2016-11-13T14:11:00|-41.820|174.073|6.7|GNS|GNS|GNS|2016p858354|M|4.1|GNS|15 km south of Seddon|earthquake
2016p858356|2016-11-13T14:12:29|-41.815|174.203|4.6|GNS|GNS|GNS|2016p858356|M|4.5|GNS|15 km south-east of Seddon|earthquake
2016p858362|2016-11-13T14:15:48|-41.826|174.080|14.9|GNS|GNS|GNS|2016p858362|M|4.6|GNS|15 km south of Seddon|earthquake
2016p858364|2016-11-13T14:17:08|-41.835|174.109|8.4|GNS|GNS|GNS|2016p858364|M|3.8|GNS|15 km south of Seddon|earthquake
2016p858370|2016-11-13T14:18:34|-41.772|174.119|13.1|GNS|GNS|GNS|2016p858370|M|3.7|GNS|10 km south of Seddon|earthquake
2016p858368|2016-11-13T14:19:05|-42.308|173.696|15.0|GNS|GNS|GNS|2016p858368|M|4.3|GNS|10 km north of Kaikoura|earthquake
2016p858371|2016-11-13T14:20:04|-41.753|174.192|7.3|GNS|GNS|GNS|2016p858371|M|4.5|GNS|10 km south-east of Seddon|earthquake
2016p858376|2016-11-13T14:22:51|-41.763|174.158|6.2|GNS|GNS|GNS|2016p858376|M|3.6|GNS|10 km south-east of Seddon|earthquake
2016p858377|2016-11-13T14:23:10|-42.624|172.918|11.8|GNS|GNS|GNS|2016p858377|M|4.0|GNS|10 km south-east of Hanmer Springs|earthquake
2016p858382|2016-11-13T14:26:05|-41.815|174.086|6.8|GNS|GNS|GNS|2016p858382|M|3.8|GNS|15 km south of Seddon|earthquake
2016p858386|2016-11-13T14:28:11|-41.765|174.170|13.1|GNS|GNS|GNS|2016p858386|M|3.8|GNS|10 km south-east of Seddon|earthquake
2016p858392|2016-11-13T14:30:50|-42.648|172.829|11.2|GNS|GNS|GNS|2016p858392|M|3.6|GNS|10 km south of Hanmer Springs|earthquake
2016p858394|2016-11-13T14:30:58|-41.758|174.098|11.9|GNS|GNS|GNS|2016p858394|M|3.7|GNS|10 km south of Seddon|earthquake
2016p858393|2016-11-13T14:32:18|-41.706|174.154|8.0|GNS|GNS|GNS|2016p858393|M|3.7|GNS|5 km south-east of Seddon|earthquake
2016p858395|2016-11-13T14:33:16|-42.371|172.942|5.0|GNS|GNS|GNS|2016p858395|M|4.3|GNS|15 km north-east of Hanmer Springs|earthquake
2016p858402|2016-11-13T14:36:12|-42.510|173.142|13.4|GNS|GNS|GNS|2016p858402|M|4.1|GNS|25 km east of Hanmer Springs|earthquake
2016p858406|2016-11-13T14:39:14|-42.520|173.330|9.4|GNS|GNS|GNS|2016p858406|M|3.7|GNS|30 km south-west of Kaikoura|earthquake
2016p858409|2016-11-13T14:40:42|-41.718|174.264|4.8|GNS|GNS|GNS|2016p858409|M|4.0|GNS|15 km east of Seddon|earthquake
2016p858413|2016-11-13T14:42:47|-42.250|173.712|2.0|GNS|GNS|GNS|2016p858413|M|4.7|GNS|15 km north of Kaikoura|earthquake
2016p858417|2016-11-13T14:44:52|-42.299|173.701|18.9|GNS|GNS|GNS|2016p858417|M|4.0|GNS|10 km north of Kaikoura|earthquake
2016p858419|2016-11-13T14:45:59|-41.869|173.951|12.0|GNS|GNS|GNS|2016p858419|M|4.4|GNS|20 km south-west of Seddon|earthquake
2016p858422|2016-11-13T14:47:41|-42.335|173.475|2.0|GNS|GNS|GNS|2016p858422|M|4.1|GNS|15 km north-west of Kaikoura|earthquake
2016p858428|2016-11-13T14:50:50|-41.715|174.272|9.8|GNS|GNS|GNS|2016p858428|M|4.5|GNS|15 km east of Seddon|earthquake
2016p858433|2016-11-13T14:53:39|-42.491|173.280|14.9|GNS|GNS|GNS|2016p858433|M|4.1|GNS|30 km west of Kaikoura|earthquake
2016p858434|2016-11-13T14:53:48|-41.741|174.272|13.4|GNS|GNS|GNS|2016p858434|M|3.5|GNS|15 km south-east of Seddon|earthquake
2016p858437|2016-11-13T14:55:31|-41.820|174.065|8.2|GNS|GNS|GNS|2016p858437|M|3.5|GNS|15 km south of Seddon|earthquake
2016p858441|2016-11-13T14:57:43|-41.888|173.888|6.7|GNS|GNS|GNS|2016p858441|M|4.3|GNS|25 km south-west of Seddon|earthquake
2016p858446|2016-11-13T15:00:07|-41.868|173.926|7.8|GNS|GNS|GNS|2016p858446|M|3.7|GNS|25 km south-west of Seddon|earthquake
2016p858448|2016-11-13T15:00:28|-41.762|174.254|15.0|GNS|GNS|GNS|2016p858448|M|4.2|GNS|15 km south-east of Seddon|earthquake
2016p858452|2016-11-13T15:03:08|-41.674|174.198|12.7|GNS|GNS|GNS|2016p858452|M|3.3|GNS|10 km east of Seddon|earthquake
2016p858453|2016-11-13T15:04:06|-42.630|172.841|5.2|GNS|GNS|GNS|2016p858453|M|4.1|GNS|10 km south of Hanmer Springs|earthquake
2016p858455|2016-11-13T15:05:09|-42.244|173.878|9.2|GNS|GNS|GNS|2016p858455|M|4.7|GNS|20 km north-east of Kaikoura|earthquake
2016p858464|2016-11-13T15:09:44|-42.137|173.682|10.5|GNS|GNS|GNS|2016p858464|M|4.7|GNS|25 km north of Kaikoura|earthquake
2016p858465|2016-11-13T15:10:24|-41.901|174.183|11.6|GNS|GNS|GNS|2016p858465|M|4.6|GNS|25 km south of Seddon|earthquake
