%cl# YYYY MM DD HH mm ss.ss    lat(deg)  long.(deg) depth(km) mag eventID
17  2018 05 01 13 08 56.350    19.39818 -155.29640   2.7830  0.17 50147337
20  2018 05 01 13 10 51.480    19.40933 -155.20755   8.8790  0.95 50147451
 5  2018 05 01 13 54 54.460    19.38114 -155.22759   1.1840  1.07 50150095
28  2018 05 01 14 56 37.670    19.38337 -155.27858   1.6520  1.19 50153798
20  2018 05 01 15 17 06.550    19.41415 -155.24617   1.8630  0.61 50155026
16  2018 05 01 15 36 59.610    19.41674 -155.21569   9.3310  0.94 50156220
28  2018 05 01 16 40 11.690    19.39938 -155.25752   1.2960  0.81 50160012
 1  2018 05 01 17 10 47.760    19.40837 -155.29818   6.1560  0.20 50161849
20  2018 05 01 18 46 23.480    19.41154 -155.21899   8.8240  0.86 50167583
 5  2018 05 01 19 02 22.880    19.38099 -155.22694   1.1840  0.00 50168544
17  2018 05 01 19 17 15.920    19.41399 -155.24642   1.8350  0.24 50169435
20  2018 05 01 19 29 58.320    19.41210 -155.21882   8.8310 -0.20 50170198
20  2018 05 01 19 31 16.360    19.41286 -155.23048   2.5500  0.38 50170276
20  2018 05 01 19 31 56.900    19.41284 -155.23073   2.5580  0.28 50170316
20  2018 05 01 19 34 32.800    19.41288 -155.23055   2.5460  0.88 50170472
20  2018 05 01 19 37 57.280    19.41137 -155.21898   8.8990  0.55 50170678
20  2018 05 01 19 43 08.500    19.41281 -155.23070   2.5510  0.08 50170988
20  2018 05 01 19 47 00.000    19.41289 -155.23065   2.5590  0.58 50171220
17  2018 05 01 19 47 53.960    19.41295 -155.23045   2.5500  1.58 50171274
17  2018 05 01 19 51 08.880    19.41295 -155.23079   2.6130  0.62 50171469
20  2018 05 01 19 51 33.880    19.41291 -155.23057   2.5600  0.51 50171493
17  2018 05 01 20 00 47.120    19.40993 -155.20998   2.4880  0.00 50172047
20  2018 05 01 20 01 44.360    19.41161 -155.21882   8.9620  0.46 50172104
20  2018 05 01 20 04 37.360    19.41282 -155.23063   2.5620  0.41 50172278
31  2018 05 01 20 05 46.200    19.41400 -155.24675   1.8230  0.28 50172345
20  2018 05 01 20 08 52.640    19.41296 -155.23068   2.5690  0.51 50172532
 1  2018 05 01 20 12 00.920    19.41287 -155.23053   2.5560  0.14 50172721
17  2018 05 01 20 13 28.100    19.41296 -155.23053   2.5680  0.08 50172808
20  2018 05 01 20 17 49.200    19.41301 -155.23047   2.5670  0.26 50173069
20  2018 05 01 20 24 39.360    19.41303 -155.23048   2.5670  0.49 50173479
17  2018 05 01 21 08 42.840    19.41379 -155.24652   1.8170  0.30 50176122
17  2018 05 01 21 13 09.040    19.42095 -155.19390   1.4780  1.45 50176390
21  2018 05 01 21 22 57.620    19.38669 -155.27931   1.6740  2.48 50176978
17  2018 05 01 21 28 38.980    19.41386 -155.24670   1.8320  0.31 50177318
17  2018 05 01 21 47 22.760    19.41393 -155.24702   1.8050 -0.14 50178442
17  2018 05 01 21 56 13.040    19.42117 -155.19398   1.4740  0.19 50178972
17  2018 05 01 22 00 40.840    19.41384 -155.24635   1.8250  0.30 50179240
17  2018 05 01 22 12 56.520    19.41389 -155.24679   1.8280  1.91 50179976
31  2018 05 01 22 20 09.000    19.41266 -155.22946   2.6480  0.26 50180409
27  2018 05 01 22 22 03.040    19.38412 -155.27935   1.6130  1.40 50180524
20  2018 05 01 22 42 50.720    19.41356 -155.22894   2.6050  0.17 50181771
17  2018 05 01 23 03 39.240    19.41380 -155.24632   1.8350  0.21 50183018
20  2018 05 01 23 04 24.600    19.41348 -155.22889   2.5990  0.72 50183065
31  2018 05 01 23 32 04.360    19.41352 -155.24655   1.9170  0.80 50184724
20  2018 05 01 23 41 49.320    19.41361 -155.22741   2.7240  0.12 50185309
31  2018 05 01 23 49 57.800    19.41392 -155.24657   1.8360  0.46 50185797
17  2018 05 01 23 51 54.120    19.40990 -155.22064   9.1030  0.94 50185915
20  2018 05 01 23 53 03.720    19.41369 -155.22842   2.6200  0.29 50185984
20  2018 05 01 23 56 04.240    19.41278 -155.23026   2.6020 -0.07 50186164
31  2018 05 02 00 02 26.880    19.41389 -155.24655   1.8360  0.17 50200146
17  2018 05 02 00 12 28.780    19.41387 -155.24687   2.0360  1.06 50200748
20  2018 05 02 00 42 13.100    19.41332 -155.22918   2.6230  0.20 50202533
17  2018 05 02 00 44 24.640    19.41378 -155.24644   1.8240  0.69 50202664
20  2018 05 02 00 45 33.730    19.41368 -155.22883   2.6120  0.69 50202734
20  2018 05 02 00 55 52.760    19.41311 -155.22508   2.9110  0.19 50203353
15  2018 05 02 00 59 34.870    19.36810 -155.27730   1.1990  0.80 50203575
 1  2018 05 02 01 10 58.310    19.41401 -155.24660   1.8440  0.08 50204257
 1  2018 05 02 01 12 32.490    19.41285 -155.23055   2.5860  0.11 50204352
20  2018 05 02 01 12 46.560    19.41339 -155.22886   2.6090  0.55 50204367
20  2018 05 02 01 18 46.420    19.41382 -155.22948   2.5780  0.58 50204727
38  2018 05 02 01 20 14.710    19.38736 -155.27886   1.8620  1.99 50204815
20  2018 05 02 01 24 42.840    19.41364 -155.22920   2.5950  1.18 50205083
20  2018 05 02 01 32 16.460    19.41401 -155.24666   1.8210  0.07 50205536
20  2018 05 02 01 36 39.230    19.41362 -155.22878   2.6340  0.45 50205799
20  2018 05 02 01 37 40.370    19.41402 -155.22811   2.5840 -0.72 50205861
20  2018 05 02 01 42 20.480    19.41398 -155.22922   2.5830  0.87 50206141
20  2018 05 02 01 44 23.160    19.41352 -155.22912   2.6250  0.33 50206263
 1  2018 05 02 01 45 02.470    19.36862 -155.22005   4.4440  0.22 50206302
20  2018 05 02 01 45 44.110    19.41376 -155.22813   2.6360 -0.09 50206344
20  2018 05 02 01 46 44.360    19.41369 -155.22845   2.6460 -0.02 50206404
20  2018 05 02 01 47 12.960    19.41381 -155.22856   2.6080 -0.41 50206433
20  2018 05 02 01 52 32.270    19.41359 -155.22902   2.6130  0.07 50206752
20  2018 05 02 01 58 49.240    19.41364 -155.22935   2.6140  0.33 50207129
17  2018 05 02 02 02 07.900    19.41301 -155.22996   2.6350  0.23 50207329
17  2018 05 02 02 05 08.020    19.41613 -155.24761   1.6850  0.34 50207508
17  2018 05 02 02 06 56.920    19.41344 -155.22949   2.6400  0.41 50207617
20  2018 05 02 02 08 07.690    19.41371 -155.22917   2.6070  0.52 50207689
17  2018 05 02 02 09 05.240    19.41343 -155.22970   2.6090  0.18 50207745
20  2018 05 02 02 13 16.320    19.41384 -155.24681   1.8280  0.09 50207996
17  2018 05 02 02 14 59.010    19.41384 -155.24650   1.8200  1.40 50208098
17  2018 05 02 02 22 32.710    19.41329 -155.22988   2.6340  0.16 50208552
20  2018 05 02 02 28 41.250    19.41382 -155.22899   2.6180  0.06 50208921
20  2018 05 02 02 37 27.220    19.41385 -155.22949   2.6170  0.68 50209447
17  2018 05 02 02 39 34.090    19.41304 -155.22988   2.6440  0.09 50209574
20  2018 05 02 02 42 33.970    19.41357 -155.22912   2.6270  0.00 50209754
31  2018 05 02 02 45 39.120    19.41353 -155.22956   2.6250  0.91 50209939
17  2018 05 02 02 49 49.340    19.41412 -155.22035   8.6010  0.59 50210189
31  2018 05 02 02 54 22.880    19.41346 -155.22962   2.6090  0.51 50210462
17  2018 05 02 02 56 47.240    19.41425 -155.24715   1.7980  0.63 50210606
20  2018 05 02 02 58 41.720    19.41381 -155.22891   2.6230  0.55 50210721
20  2018 05 02 02 59 10.190    19.41368 -155.22926   2.6060  0.48 50210750
17  2018 05 02 03 00 29.780    19.41226 -155.24683   2.0820  0.58 50210829
17  2018 05 02 03 08 24.970    19.41186 -155.22152   8.8700  0.35 50211305
20  2018 05 02 03 09 35.190    19.41384 -155.22886   2.6270  0.33 50211375
20  2018 05 02 03 15 09.500    19.41396 -155.22860   2.6330  0.39 50211709
17  2018 05 02 03 16 21.110    19.41333 -155.22985   2.6350  0.44 50211781
20  2018 05 02 03 19 20.080    19.41376 -155.22941   2.6180  0.07 50211960
 1  2018 05 02 03 19 33.130    19.41306 -155.24632   1.9260  0.32 50211972
17  2018 05 02 03 25 58.220    19.41384 -155.24658   1.8200  0.99 50212357
17  2018 05 02 03 28 21.890    19.41179 -155.22142   8.8370  0.33 50212501
17  2018 05 02 03 30 19.960    19.41381 -155.24707   1.8820  0.64 50212619
20  2018 05 02 03 32 26.870    19.41408 -155.22910   2.6220  0.70 50212747
17  2018 05 02 03 35 26.860    19.41362 -155.22897   2.5980  0.41 50212927
20  2018 05 02 03 42 47.400    19.41362 -155.22957   2.6170  0.69 50213368
 6  2018 05 02 03 53 44.050    19.39080 -155.24574   5.1490 -0.39 50214025
17  2018 05 02 03 56 41.630    19.41348 -155.22964   2.6550  0.41 50214202
17  2018 05 02 03 57 28.260    19.41328 -155.23014   2.6310  0.23 50214248
20  2018 05 02 04 04 26.320    19.41368 -155.22967   2.6240  0.40 50214666
20  2018 05 02 04 07 59.600    19.41368 -155.23210   2.6090  0.09 50214880
 1  2018 05 02 04 08 26.830    19.41320 -155.24627   1.9770 -0.01 50214906
20  2018 05 02 04 12 22.390    19.41393 -155.22935   2.5940  0.47 50215142
17  2018 05 02 04 14 52.880    19.40966 -155.22018   8.6460  0.43 50215294
20  2018 05 02 04 16 33.040    19.41352 -155.22954   2.6520  0.27 50215393
20  2018 05 02 04 22 36.000    19.41400 -155.22827   2.6880  0.06 50215756
31  2018 05 02 04 22 49.610    19.41350 -155.22951   2.6410  0.46 50215770
20  2018 05 02 04 23 55.060    19.41381 -155.22930   2.6090  0.46 50215835
11  2018 05 02 04 26 42.060    19.41360 -155.24564   1.7450  0.62 50216001
20  2018 05 02 04 27 52.980    19.41387 -155.22941   2.6240  0.21 50216073
17  2018 05 02 04 29 33.830    19.41363 -155.22938   2.6410  0.36 50216174
17  2018 05 02 04 30 11.040    19.41351 -155.22943   2.6580  0.68 50216211
17  2018 05 02 04 45 47.530    19.41344 -155.22964   2.6090  0.29 50217147
17  2018 05 02 04 54 22.310    19.41401 -155.22962   2.5980  0.17 50217662
17  2018 05 02 04 54 57.940    19.41321 -155.22990   2.6110  0.43 50217698
17  2018 05 02 04 56 37.120    19.41358 -155.22948   2.6630  0.52 50217797
20  2018 05 02 04 58 53.510    19.41397 -155.22944   2.6090  0.17 50217934
17  2018 05 02 05 03 13.720    19.41369 -155.22933   2.6420  0.36 50218194
31  2018 05 02 05 03 31.150    19.41397 -155.24653   1.8320  0.12 50218210
 1  2018 05 02 05 06 34.820    19.41323 -155.24775   2.2490  0.42 50218394
17  2018 05 02 05 09 58.110    19.41359 -155.22982   2.6530  0.50 50218597
20  2018 05 02 05 11 10.620    19.41385 -155.22946   2.6200  0.15 50218671
17  2018 05 02 05 18 28.000    19.41353 -155.22967   2.6570  0.44 50219108
17  2018 05 02 05 18 56.180    19.41351 -155.22923   2.6860  0.58 50219136
17  2018 05 02 05 19 35.490    19.41399 -155.24650   1.8180  0.33 50219175
17  2018 05 02 05 20 53.350    19.41392 -155.24692   1.8160  0.95 50219253
17  2018 05 02 05 23 03.530    19.41360 -155.22974   2.6590  0.97 50219383
17  2018 05 02 05 25 52.040    19.41355 -155.22972   2.6660  0.74 50219552
17  2018 05 02 05 34 24.760    19.41253 -155.22974   2.7550  0.76 50220065
17  2018 05 02 05 37 05.090    19.41364 -155.22933   2.6630  0.62 50220225
11  2018 05 02 05 42 23.510    19.38589 -155.28074   1.5050  1.40 50220544
17  2018 05 02 05 44 04.500    19.41331 -155.22972   2.6500  0.65 50220644
17  2018 05 02 05 44 53.760    19.41405 -155.24705   1.8340  0.92 50220693
17  2018 05 02 05 45 50.110    19.41351 -155.23006   2.6660  0.66 50220749
17  2018 05 02 05 46 48.800    19.41335 -155.22975   2.6460  0.82 50220809
31  2018 05 02 05 48 04.050    19.41388 -155.22959   2.6150  0.58 50220883
 3  2018 05 02 05 50 21.590    19.37083 -155.29082   2.4230  1.33 50221022
17  2018 05 02 05 51 25.670    19.41354 -155.22961   2.6420  0.49 50221085
17  2018 05 02 05 57 38.630    19.41352 -155.22970   2.6330  0.87 50221458
17  2018 05 02 05 58 54.710    19.41347 -155.22959   2.6490  1.06 50221535
17  2018 05 02 05 59 29.290    19.41368 -155.22961   2.6460  1.25 50221569
17  2018 05 02 06 02 01.900    19.41361 -155.22967   2.5890  0.88 50221721
17  2018 05 02 06 03 03.630    19.41361 -155.22961   2.6430  1.34 50221784
17  2018 05 02 06 04 36.640    19.41365 -155.22956   2.6390  0.52 50221876
17  2018 05 02 06 04 58.450    19.41342 -155.22961   2.6580  1.13 50221898
17  2018 05 02 06 06 19.140    19.41360 -155.22975   2.6370  0.79 50221979
17  2018 05 02 06 15 34.920    19.41379 -155.22769   2.5820  0.26 50222535
31  2018 05 02 06 24 20.070    19.41311 -155.22985   2.6380  0.95 50223060
17  2018 05 02 06 32 18.560    19.41431 -155.22052   8.5190  0.75 50223538
20  2018 05 02 06 38 35.760    19.41386 -155.24655   1.8300  1.72 50223915
17  2018 05 02 06 45 04.060    19.41402 -155.24696   1.8240  0.79 50224304
20  2018 05 02 06 55 58.300    19.41342 -155.23000   2.5940  0.19 50224958
17  2018 05 02 07 02 38.390    19.41323 -155.22975   2.6070  0.63 50225358
20  2018 05 02 07 04 04.630    19.41357 -155.22966   2.5950  0.60 50225445
20  2018 05 02 07 05 45.670    19.41387 -155.22896   2.6100  0.35 50225546
28  2018 05 02 07 07 04.930    19.38541 -155.27954   1.6930  0.35 50225626
28  2018 05 02 07 11 15.970    19.40315 -155.23828   3.8630  0.62 50225877
17  2018 05 02 07 12 48.040    19.41645 -155.20262   2.3170  0.18 50225969
20  2018 05 02 07 17 50.470    19.41398 -155.24661   1.8360  0.01 50226270
17  2018 05 02 07 21 35.850    19.41417 -155.22017   8.5630  0.38 50226495
20  2018 05 02 07 25 02.520    19.41344 -155.22935   2.6130  0.29 50226702
20  2018 05 02 07 32 58.530    19.41305 -155.23083   2.5600  0.29 50227178
31  2018 05 02 07 37 57.300    19.41373 -155.24679   1.8710 -0.16 50227477
20  2018 05 02 07 42 24.810    19.41109 -155.23060   2.8440  0.45 50227745
20  2018 05 02 07 52 15.700    19.41366 -155.22928   2.6060  0.93 50228336
17  2018 05 02 07 56 30.830    19.41380 -155.24653   1.8340  0.66 50228590
20  2018 05 02 08 15 22.160    19.41408 -155.22868   2.6690  0.50 50229722
17  2018 05 02 08 22 39.890    19.41151 -155.22541   8.7250  0.76 50230159
20  2018 05 02 08 42 33.250    19.41409 -155.22931   2.5900  0.88 50231353
17  2018 05 02 08 43 37.680    19.41367 -155.22952   2.6320  0.35 50231418
20  2018 05 02 08 48 22.300    19.41383 -155.24655   1.8380  1.30 50231702
20  2018 05 02 08 50 32.920    19.41328 -155.23039   2.5670  0.15 50231833
20  2018 05 02 09 02 50.790    19.41160 -155.22570   8.6790  1.49 50232571
17  2018 05 02 09 14 14.530    19.41381 -155.24637   1.8210  0.68 50233254
 9  2018 05 02 09 19 20.510    19.41184 -155.22586   8.7010  1.32 50233560
 8  2018 05 02 09 25 51.370    19.41606 -155.28475   0.2100  1.91 50233951
20  2018 05 02 09 29 03.870    19.41309 -155.22878   2.4520  1.15 50234143
17  2018 05 02 09 46 17.250    19.41356 -155.22972   2.6340  1.24 50235177
17  2018 05 02 10 17 45.140    19.41369 -155.22023   8.5990  2.42 50237066
11  2018 05 02 10 30 27.260    19.41360 -155.22970   2.6300  0.79 50237827
23  2018 05 02 10 43 00.990    19.41383 -155.22946   2.5920  0.35 50238581
17  2018 05 02 10 50 08.250    19.41367 -155.22954   2.6390  0.58 50239009
31  2018 05 02 10 54 44.810    19.41303 -155.23050   2.6360  0.35 50239285
17  2018 05 02 10 56 12.450    19.41369 -155.22951   2.6330  0.54 50239372
17  2018 05 02 10 57 57.580    19.41354 -155.22948   2.6440  0.64 50239478
17  2018 05 02 11 14 03.280    19.41368 -155.22910   2.5890  0.46 50240444
20  2018 05 02 11 21 50.580    19.41348 -155.22974   2.5950  0.72 50240911
17  2018 05 02 11 23 59.350    19.41393 -155.24673   1.8180  0.58 50241039
20  2018 05 02 11 24 43.680    19.41337 -155.22966   2.5950  0.21 50241083
17  2018 05 02 11 31 56.540    19.41380 -155.24648   1.8270  1.09 50241516
17  2018 05 02 11 37 06.630    19.41352 -155.22938   2.6200  0.51 50241826
17  2018 05 02 11 47 20.160    19.41350 -155.22961   2.6370  0.48 50242440
31  2018 05 02 11 51 39.980    19.41638 -155.20257   2.3170  0.17 50242701
31  2018 05 02 12 09 31.160    19.41303 -155.24463   1.8230  0.40 50243770
20  2018 05 02 12 18 11.150    19.41340 -155.22956   2.6120  0.22 50244291
17  2018 05 02 12 20 18.250    19.41333 -155.24639   1.8100  0.16 50244419
20  2018 05 02 12 20 44.250    19.41378 -155.22869   2.6380  0.33 50244444
17  2018 05 02 12 27 51.480    19.41555 -155.24884   1.5950  0.60 50244871
17  2018 05 02 12 32 36.670    19.41390 -155.24681   1.8470  0.46 50245156
20  2018 05 02 12 39 30.250    19.41380 -155.24657   1.8380  0.31 50245569
20  2018 05 02 12 45 07.490    19.41362 -155.24670   1.8170  1.26 50245909
17  2018 05 02 12 47 49.920    19.41201 -155.22137   8.9290  0.97 50246070
17  2018 05 02 13 00 33.890    19.41362 -155.22959   2.6350  0.97 50246834
17  2018 05 02 13 05 29.510    19.41351 -155.22956   2.6090  1.09 50247129
17  2018 05 02 13 15 17.300    19.41345 -155.22943   2.6000  0.78 50247717
20  2018 05 02 13 19 43.160    19.41328 -155.22985   2.6050  0.70 50247983
