,Unnamed: 0,time,latitude,longitude,depth,magnitude,event_description,associated_phase_count,azimuthal_gap,event_id,horizontal_uncertainty,local_magnitude,moment_magnitude,duration_magnitude,magnitude_type,p_phase_count,s_phase_count,p_pick_count,s_pick_count,standard_error,used_phase_count,station_count,vertical_uncertainty,updated,author,agency_id,creation_time,version,stations,strike,dip,rake,kappa,scalar error,template-id,Slip style
40,40,2009-07-28 07:52:15.459000,-41.65575,174.41206,7386.0,2.31749557661,,0.0,,smi:local/2016_12_03t03_20_32_20090728T075220.901721,87.0,2.31749557661,,,ML,0.0,0.0,7.0,21.0,1.90149558814,266.0,0.0,166.0,2021-06-09 18:37:12.000000,EQcorrscan,,2021-06-08 11:47:20.033590,,,,,,,,2016_12_03t03_20_32,Strike-slip
41,41,2009-07-30 11:21:43.277000,-41.8423,174.07371,13291.0,2.74319359731,,0.0,,smi:local/2016_11_14t22_26_18_20090730T112147.928205,538.0,2.74319359731,,,ML,0.0,0.0,8.0,17.0,1.23967018217,219.0,0.0,565.0,2021-06-09 18:37:13.000000,EQcorrscan,,2021-06-08 11:48:05.366354,,,,,,,,2016_11_14t22_26_18,Reverse
42,42,2009-08-03 10:34:52.954000,-41.7362,174.25374,9933.0,1.42426224073,,0.0,,smi:local/2016_11_20t12_22_47_20090803T103456.338872,264.0,1.42426224073,,,ML,0.0,0.0,5.0,20.0,0.630438840903,231.0,0.0,318.0,2021-06-09 18:37:15.000000,EQcorrscan,,2021-06-08 11:48:47.795999,,,,,,,,2016_11_20t12_22_47,Reverse
43,43,2009-08-10 05:46:26.243000,-41.71967,174.34642,1601.0,1.63210774268,,0.0,,smi:local/2016_11_24t04_43_15_20090810T054630.241533,69.0,1.63210774268,,,ML,0.0,0.0,4.0,13.0,1.69244444444,28.0,0.0,77.0,2021-06-09 18:37:17.000000,EQcorrscan,,2021-06-08 11:50:27.869876,,,,,,,,2016_11_24t04_43_15,Reverse
44,44,2009-08-11 06:51:45.030513,-41.77505,174.058791,6414.062,1.5129290513,,7.0,216.537,smi:local/2016_11_15t01_34_12_20090811T065148.101548,,1.5129290513,,,ML,3.0,4.0,3.0,7.0,0.380648,7.0,7.0,7100.07746437,2021-06-09 18:37:19.000000,EQcorrscan,,2021-06-08 11:51:20.243042,,"BSWZ, CAW, CMWZ, MTW, NNZ, OGWZ, WEL",,,,,,2016_11_15t01_34_12,Strike-slip
45,45,2009-08-11 06:52:06.859974,-41.3465,174.888987,4734.375,1.15135581843,,5.0,237.031,smi:local/2016_11_20t05_30_31_20090811T065145.601548,,1.15135581843,,,ML,0.0,5.0,0.0,8.0,0.0410351,5.0,5.0,20415.3618631,2021-06-09 18:37:18.000000,EQcorrscan,,2021-06-08 11:51:20.249986,,"CAW, KIW, LTZ, MTW, WEL",,,,,,2016_11_20t05_30_31,Unknown
46,46,2009-08-12 16:18:49.607373,-41.64321,174.278579,15007.812,1.46216013045,,11.0,156.981,smi:local/2016_12_03t03_20_32_20090812T161852.998211,,1.46216013045,,,ML,4.0,7.0,4.0,12.0,0.417769,11.0,8.0,5711.57596465,2021-06-09 18:37:20.000000,EQcorrscan,,2021-06-08 11:51:57.904517,,"CAW, CMWZ, DUWZ, KHZ, OGWZ, TCW, THZ, TUWZ",,,,,,2016_12_03t03_20_32,Strike-slip
47,47,2009-08-13 17:51:17.968000,-41.72071,174.22518,11432.0,1.22405900063,,0.0,,smi:local/2016_11_14t00_59_03_20090813T175121.625017,499.0,1.22405900063,,,ML,0.0,0.0,4.0,14.0,0.331428571429,48.0,0.0,228.0,2021-06-09 18:37:22.000000,EQcorrscan,,2021-06-08 11:52:38.423370,,,,,,,,2016_11_14t00_59_03,Unknown
48,48,2009-08-15 10:20:23.564000,-40.10559,174.94704,31726.0,3.50040164782,,0.0,,smi:local/2017_03_26t11_17_43_20090815T102038.347533,24.0,3.50040164782,,,ML,0.0,0.0,16.0,14.0,1.90488286224,2035.0,0.0,47.0,2021-06-09 18:37:25.000000,EQcorrscan,,2021-06-08 11:53:25.037137,,,,,,,,2017_03_26t11_17_43,Normal
49,49,2009-08-15 19:31:25.661000,-40.10641,174.94826,31706.0,2.73337990032,,0.0,,smi:local/2017_03_26t11_17_43_20090815T193139.880866,50.0,2.73337990032,,,ML,0.0,0.0,14.0,13.0,1.64353141257,1937.0,0.0,28.0,2021-06-09 18:37:28.000000,EQcorrscan,,2021-06-08 11:53:25.049935,,,,,,,,2017_03_26t11_17_43,Normal
50,50,2009-08-15 21:10:04.617000,-40.10427,174.94813,31713.0,3.70707830193,,0.0,,smi:local/2017_03_26t11_17_43_20090815T211018.647533,48.0,3.70707830193,,,ML,0.0,0.0,16.0,14.0,1.68571886398,2102.0,0.0,50.0,2021-06-09 18:37:31.000000,EQcorrscan,,2021-06-08 11:53:25.023469,,,,,,,,2017_03_26t11_17_43,Normal
51,51,2009-08-22 21:02:52.596000,-40.10249,174.94819,31744.0,3.03769317118,,0.0,,smi:local/2017_03_26t11_17_43_20090822T210307.206860,62.0,3.03769317118,,,ML,0.0,0.0,16.0,14.0,1.77238984588,1888.0,0.0,35.0,2021-06-09 18:37:34.000000,EQcorrscan,,2021-06-08 11:55:32.238870,,,,,,,,2017_03_26t11_17_43,Normal
52,52,2009-08-26 14:28:31.703000,-40.10539,174.94931,31696.0,2.46568607212,,0.0,,smi:local/2017_03_26t11_17_43_20090826T142846.490190,33.0,2.46568607212,,,ML,0.0,0.0,12.0,14.0,1.52105822603,2166.0,0.0,29.0,2021-06-09 18:37:36.000000,EQcorrscan,,2021-06-08 11:56:56.237429,,,,,,,,2017_03_26t11_17_43,Normal
53,53,2009-08-26 17:29:18.940000,-40.1126,174.96129,35109.0,1.94471670379,,0.0,,smi:local/2017_03_26t11_17_43_20090826T172933.190190,618.0,1.94471670379,,,ML,0.0,0.0,9.0,10.0,0.431666666667,14.0,0.0,318.0,2021-06-09 18:37:38.000000,EQcorrscan,,2021-06-08 11:56:56.250281,,,,,,,,2017_03_26t11_17_43,Normal
54,54,2009-08-27 07:03:09.850000,-40.07258,174.87519,19998.0,1.95754541423,,0.0,,smi:local/2017_03_26t11_17_43_20090827T070324.816868,332.0,1.95754541423,,,ML,0.0,0.0,7.0,10.0,2.73,14.0,0.0,224.0,2021-06-09 18:37:39.000000,EQcorrscan,,2021-06-08 11:57:53.998567,,,,,,,,2017_03_26t11_17_43,Normal
55,55,2009-08-28 16:25:50.608000,-41.84198,174.07343,13361.0,1.70415953638,,0.0,,smi:local/2016_11_14t22_26_18_20090828T162555.610194,517.0,1.70415953638,,,ML,0.0,0.0,5.0,14.0,2.19181034483,135.0,0.0,655.0,2021-06-09 18:37:41.000000,EQcorrscan,,2021-06-08 11:58:38.754889,,,,,,,,2016_11_14t22_26_18,Reverse
56,56,2009-09-02 12:18:56.683000,-40.10292,174.94696,31752.0,1.97066887463,,0.0,,smi:local/2017_03_26t11_17_43_20090902T121910.786870,36.0,1.97066887463,,,ML,0.0,0.0,9.0,10.0,1.3713388973,1044.0,0.0,50.0,2021-06-09 18:37:42.000000,EQcorrscan,,2021-06-08 12:00:52.715161,,,,,,,,2017_03_26t11_17_43,Normal
57,57,2009-09-04 13:31:57.789000,-40.10373,174.94966,31716.0,1.72374937856,,0.0,,smi:local/2017_03_26t11_17_43_20090904T133211.879531,40.0,1.72374937856,,,ML,0.0,0.0,9.0,14.0,1.35726708965,1911.0,0.0,29.0,2021-06-09 18:37:44.000000,EQcorrscan,,2021-06-08 12:01:35.826815,,,,,,,,2017_03_26t11_17_43,Normal
58,58,2009-09-04 16:14:34.275000,-40.10231,174.94913,31623.0,1.24065968659,,0.0,,smi:local/2017_03_26t11_17_43_20090904T161448.679531,278.0,1.24065968659,,,ML,0.0,0.0,2.0,10.0,1.5747021112,301.0,0.0,158.0,2021-06-09 18:37:45.000000,EQcorrscan,,2021-06-08 12:01:35.840289,,,,,,,,2017_03_26t11_17_43,Normal
59,59,2009-09-04 16:56:08.784000,-40.10373,174.94966,31716.0,1.89153860361,,0.0,,smi:local/2017_03_26t11_17_43_20090904T165622.779531,37.0,1.89153860361,,,ML,0.0,0.0,10.0,14.0,1.26533461915,2033.0,0.0,59.0,2021-06-09 18:37:47.000000,EQcorrscan,,2021-06-08 12:01:35.812783,,,,,,,,2017_03_26t11_17_43,Normal
60,60,2009-09-05 02:15:18.704000,-40.10353,174.9495,31713.0,2.31499461146,,0.0,,smi:local/2017_03_26t11_17_43_20090905T021532.839533,39.0,2.31499461146,,,ML,0.0,0.0,13.0,14.0,1.44335360764,1854.0,0.0,31.0,2021-06-09 18:37:50.000000,EQcorrscan,,2021-06-08 12:02:16.951399,,,,,,,,2017_03_26t11_17_43,Normal
61,61,2009-09-05 05:02:17.717000,-41.81511,174.19192,13906.0,1.35604848534,,0.0,,smi:local/2016_11_15t06_26_29_20090905T050222.372866,131.0,1.35604848534,,,ML,0.0,0.0,9.0,12.0,1.24122685185,86.0,0.0,98.0,2021-06-09 18:37:52.000000,EQcorrscan,,2021-06-08 12:02:16.964385,,,,,,,,2016_11_15t06_26_29,Strike-slip
62,62,2009-09-10 02:43:52.929000,-40.10305,174.95009,31734.0,1.72216893481,,0.0,,smi:local/2017_03_26t11_17_43_20090910T024407.149535,33.0,1.72216893481,,,ML,0.0,0.0,9.0,12.0,0.899774512104,1517.0,0.0,56.0,2021-06-09 18:37:54.000000,EQcorrscan,,2021-06-08 12:03:07.122616,,,,,,,,2017_03_26t11_17_43,Normal
63,63,2009-09-14 20:33:44.625000,-41.90751,174.14434,10441.0,1.56134415519,,0.0,,smi:local/2016_11_13t22_24_43_20090914T203349.732868,260.0,1.56134415519,,,ML,0.0,0.0,5.0,6.0,0.726,22.0,0.0,186.0,2021-06-09 18:37:55.000000,EQcorrscan,,2021-06-08 12:03:54.471322,,,,,,,,2016_11_13t22_24_43,Strike-slip
64,64,2009-09-23 14:27:44.804000,-41.90741,174.14357,10444.0,2.64642957801,,0.0,,smi:local/2016_11_13t22_24_43_20090923T142750.220202,123.0,2.64642957801,,,ML,0.0,0.0,8.0,11.0,1.08275,71.0,0.0,113.0,2021-06-09 18:37:57.000000,EQcorrscan,,2021-06-08 12:07:10.677168,,,,,,,,2016_11_13t22_24_43,Strike-slip
65,65,2009-09-29 10:30:27.803000,-41.74993,174.34275,12328.0,1.75407166363,,0.0,,smi:local/2016_11_13t23_55_01_20090929T103032.358386,176.0,1.75407166363,,,ML,0.0,0.0,1.0,14.0,0.18,8.0,0.0,331.0,2021-06-09 18:37:58.000000,EQcorrscan,,2021-06-08 12:10:36.997833,,,,,,,,2016_11_13t23_55_01,Reverse
